fips_code,run_start_time_day,any_out,num_out_per_day,minutes_out,customers_out,customers_out_mean,cust_minute_area,customers_total,pct_out_max,pct_out_area
06073,2021-08-18,1,2,1275,1720,480.84705882352944,613080,1362929,0.0012619879685588904,0.0003123787079150858
06073,2021-08-19,1,1,1440,3254,907.3333333333334,1306560,1362929,0.002387505145168971,0.0006657231105459883
06073,2021-08-20,1,2,1185,2181,914.0253164556962,1083120,1362929,0.0016002300926900815,0.0005518751649327783
06073,2021-08-21,1,1,1440,5879,847.3229166666666,1220145,1362929,0.004313504225091696,0.0006216926315799771
06073,2021-08-22,1,1,1440,1423,325.21875,468315,1362929,0.0010440749298019194,0.0002386175288661405
06073,2021-08-23,1,2,1290,2997,386.7674418604651,498930,1362929,0.002198940663820346,0.0002542165928428162
06073,2021-08-24,1,1,1440,3643,848.3125,1221570,1362929,0.0026729198659651383,0.000622418702661694
06073,2021-08-25,1,1,1440,511,238.76041666666666,343815,1362929,0.0003749278208916238,0.00017518184488455867
06073,2021-08-26,1,2,1380,1015,364.3478260869565,502800,1362929,0.0007447196442367871,0.00025618844904368946
06073,2021-08-27,1,1,1440,2082,708.0104166666666,1019535,1362929,0.0015275924131044243,0.000519477108981221
06073,2021-08-28,1,1,1440,715,256.1458333333333,368850,1362929,0.0005246054636741899,0.00018793776736230084
06073,2021-08-29,1,1,1425,4877,371.1578947368421,528900,1362929,0.0035783228620126215,0.0002694870141193464
06073,2021-08-30,1,1,1440,2352,459.3541666666667,661470,1362929,0.0017256951756107618,0.0003370345532794934
06073,2021-08-31,1,1,1440,13651,1208.7362637362637,1649925,1362929,0.01001592892953338,0.0008406756698257943
06073,2021-09-01,1,1,1440,593,248.46236559139786,346605,1362929,0.00043509236357873373,0.00017660341563402544
06073,2021-09-02,1,1,1440,3351,365.5729166666667,526425,1362929,0.0024586753968842104,0.00026822594329320654
06073,2021-09-03,1,1,1440,3351,308.90425531914894,435555,1362929,0.0024586753968842104,0.00022192553684014353
06073,2021-09-04,1,1,1440,4940,433.78723404255317,611640,1362929,0.0036245468399307666,0.00031164499397987717
06073,2021-09-05,1,1,1440,305,36.093333333333334,40605,1362929,0.00022378275023864045,2.068920440218578e-05
